,title,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),misc_clausulae,author
25,de republica,118.0,18.0,48.0,15.0,188.0,120.0,21.0,9.0,5.0,33.0,16.0,1.0,30.0,14.0,171.0,6.0,9.0,83.0,2.0,3.0,89.0,19.0,37.0,9.0,3.0,53.0,cicero
26,epistula ad ocatianum,13.0,1.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,cicero
27,epistulae ad atticum,1039.0,211.0,325.0,231.0,912.0,798.0,156.0,65.0,41.0,195.0,107.0,92.0,195.0,201.0,1888.0,116.0,125.0,638.0,37.0,85.0,1486.0,340.0,654.0,233.0,103.0,313.0,cicero
28,epistulae ad atticum book 1,71.0,12.0,24.0,16.0,48.0,48.0,9.0,1.0,0.0,11.0,6.0,1.0,12.0,13.0,136.0,7.0,4.0,27.0,0.0,4.0,95.0,18.0,28.0,13.0,6.0,9.0,cicero
29,epistulae ad atticum book 10,64.0,7.0,21.0,9.0,55.0,42.0,11.0,1.0,3.0,5.0,8.0,4.0,14.0,16.0,133.0,10.0,7.0,39.0,4.0,8.0,86.0,22.0,47.0,15.0,4.0,17.0,cicero
30,epistulae ad atticum book 11,54.0,16.0,13.0,15.0,57.0,41.0,9.0,1.0,1.0,10.0,7.0,4.0,15.0,10.0,100.0,4.0,7.0,32.0,2.0,3.0,92.0,17.0,36.0,18.0,3.0,10.0,cicero
31,epistulae ad atticum book 12,80.0,18.0,32.0,26.0,72.0,68.0,15.0,5.0,3.0,22.0,7.0,8.0,19.0,15.0,164.0,12.0,11.0,61.0,2.0,2.0,86.0,35.0,46.0,17.0,9.0,27.0,cicero
32,epistulae ad atticum book 13,91.0,22.0,26.0,19.0,69.0,73.0,11.0,6.0,3.0,18.0,5.0,8.0,16.0,17.0,163.0,16.0,16.0,60.0,4.0,11.0,133.0,29.0,68.0,18.0,12.0,39.0,cicero
33,epistulae ad atticum book 14,71.0,17.0,24.0,8.0,67.0,38.0,10.0,1.0,0.0,12.0,7.0,6.0,9.0,15.0,110.0,10.0,10.0,37.0,6.0,6.0,87.0,17.0,38.0,9.0,4.0,20.0,cicero
34,epistulae ad atticum book 15,67.0,13.0,29.0,16.0,59.0,48.0,11.0,5.0,3.0,8.0,3.0,9.0,12.0,10.0,116.0,7.0,12.0,38.0,4.0,4.0,110.0,14.0,33.0,13.0,2.0,21.0,cicero
35,epistulae ad atticum book 16,62.0,8.0,20.0,7.0,59.0,41.0,13.0,4.0,1.0,9.0,12.0,8.0,10.0,16.0,99.0,6.0,8.0,30.0,2.0,9.0,77.0,21.0,48.0,18.0,4.0,32.0,cicero
36,epistulae ad atticum book 2,82.0,19.0,26.0,15.0,58.0,47.0,7.0,5.0,1.0,17.0,6.0,8.0,11.0,13.0,143.0,4.0,9.0,46.0,4.0,5.0,86.0,24.0,39.0,16.0,11.0,18.0,cicero
37,epistulae ad atticum book 3,48.0,8.0,9.0,11.0,22.0,38.0,2.0,2.0,2.0,6.0,4.0,1.0,9.0,9.0,66.0,5.0,3.0,19.0,1.0,2.0,67.0,22.0,20.0,7.0,3.0,10.0,cicero
38,epistulae ad atticum book 4,63.0,13.0,22.0,17.0,44.0,39.0,9.0,6.0,8.0,13.0,5.0,4.0,14.0,9.0,121.0,6.0,10.0,35.0,1.0,3.0,88.0,20.0,34.0,9.0,3.0,17.0,cicero
39,epistulae ad atticum book 5,43.0,10.0,21.0,14.0,63.0,51.0,6.0,5.0,1.0,12.0,8.0,3.0,14.0,16.0,91.0,4.0,6.0,43.0,1.0,6.0,112.0,17.0,47.0,13.0,3.0,16.0,cicero
40,epistulae ad atticum book 6,53.0,9.0,12.0,17.0,56.0,54.0,11.0,5.0,3.0,13.0,6.0,4.0,8.0,9.0,100.0,7.0,7.0,43.0,1.0,4.0,72.0,17.0,35.0,16.0,11.0,18.0,cicero
41,epistulae ad atticum book 7,77.0,14.0,15.0,18.0,71.0,68.0,10.0,5.0,2.0,20.0,11.0,8.0,11.0,15.0,122.0,9.0,5.0,48.0,4.0,4.0,107.0,17.0,56.0,25.0,10.0,28.0,cicero
